
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0    0.0  337.5   19.4   961.2   10.6   55.1                    
  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     8     8   118   119   118     0    53 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  4506   482   289    11    91   147   105    49
   172  6966   514   289    15    93   149   109    52
   162  6343   515   287    25    90   151   113    30
   152  5829   469   281    35    87   152   112    32
   142  5496   457   271    45    84   154   104    79
   132  4300   460   266    55    75   150   102    76
   122  2468   464   271    65    62   140   102    36
   112  1972   485   271    63    59   133   100    22
   102  1854   500   272    57    60   127    98    16
    92  1617   483   276    53    64   124    94    31
    82  1437   473   279    47    70   124    94    44
    72  1518   466   282    37    84   135   107    28
    62  1530   448   285    28    92   148   111    73
    52  1434   444   286    22    94   167   104   228
    42  1236   439   287    13    93   172   105   252
    32   968   387   290     3    89   169   111   181
    22   750   339   293     8    71   169   111 -9999
    12   545   298   295    19    46   170   110 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.1   -0.1  344.5   29.4   960.0   15.8   43.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
